 shear		 lambda		 n		 m		 ts
---------------------------------------------------------------------------
 1  		 1.00e-02	 32 		 9   		 6.6667e-01
 1  		 1.00e-02	 64 		 9   		 6.6667e-01
 1  		 1.00e-02	 128		 76  		 7.8947e-02
 1  		 1.00e-02	 256		 210 		 2.8571e-02
 1  		 1.00e-01	 32 		 9   		 6.6667e-01
 1  		 1.00e-01	 64 		 9   		 6.6667e-01
 1  		 1.00e-01	 128		 54  		 1.1111e-01
 1  		 1.00e-01	 256		 150 		 4.0000e-02
 1  		 1.00e+00	 32 		 9   		 6.6667e-01
 1  		 1.00e+00	 64 		 9   		 6.6667e-01
 1  		 1.00e+00	 128		 9   		 6.6667e-01
 1  		 1.00e+00	 256		 9   		 6.6667e-01
 1  		 1.00e+01	 32 		 15  		 4.0000e-01
 1  		 1.00e+01	 64 		 14  		 4.2857e-01
 1  		 1.00e+01	 128		 20  		 3.0000e-01
 1  		 1.00e+01	 256		 23  		 2.6087e-01
 1  		 1.00e+02	 32 		 6086		 9.8587e-04
 1  		 1.00e+02	 64 		 808 		 7.4257e-03
 1  		 1.00e+02	 128		 476 		 1.2605e-02
 1  		 1.00e+02	 256		 476 		 1.2605e-02
 10 		 1.00e-02	 32 		 15  		 4.0000e-02
 10 		 1.00e-02	 64 		 19  		 3.1579e-02
 10 		 1.00e-02	 128		 76  		 7.8947e-03
 10 		 1.00e-02	 256		 210 		 2.8571e-03
 10 		 1.00e-01	 32 		 11  		 5.4545e-02
 10 		 1.00e-01	 64 		 11  		 5.4545e-02
 10 		 1.00e-01	 128		 62  		 9.6774e-03
 10 		 1.00e-01	 256		 150 		 4.0000e-03
 10 		 1.00e+00	 32 		 9   		 6.6667e-02
 10 		 1.00e+00	 64 		 9   		 6.6667e-02
 10 		 1.00e+00	 128		 9   		 6.6667e-02
 10 		 1.00e+00	 256		 9   		 6.6667e-02
 10 		 1.00e+01	 32 		 13  		 4.6154e-02
 10 		 1.00e+01	 64 		 14  		 4.2857e-02
 10 		 1.00e+01	 128		 17  		 3.5294e-02
 10 		 1.00e+01	 256		 17  		 3.5294e-02
 10 		 1.00e+02	 32 		 1305		 4.5977e-04
 10 		 1.00e+02	 64 		 476 		 1.2605e-03
 10 		 1.00e+02	 128		 578 		 1.0381e-03
 10 		 1.00e+02	 256		 578 		 1.0381e-03


7e$-$1 & 4e$-$2 & 7e$-$1 & 5e$-$2 & 7e$-$1 & 7e$-$2 &4e$-$1 & 5e$-$2 &1e$-$3 & 5e$-$4\\ 
7e$-$1 & 3e$-$2 & 7e$-$1 & 5e$-$2 & 7e$-$1 & 7e$-$2 &4e$-$1 & 4e$-$2 &7e$-$3 & 1e$-$3\\
8e$-$2 & 8e$-$3 & 1e$-$1 & 1e$-$2 & 7e$-$1 & 7e$-$2 &3e$-$1 & 3e$-$2 &1e$-$2 & 1e$-$3\\
3e$-$2 & 3e$-$3 & 4e$-$2 & 4e$-$3 & 7e$-$1 & 7e$-$2 &2e$-$1 & 3e$-$2 &1e$-$2 & 1e$-$3\\




































